id,unit_id,type,role,related_main_id,prompt,options,correct_index,image,audio,explanation
1,1,select_blank,preview,2,"Vibecoding means describing outcomes, not ___ code.",typing|deleting|compiling,0,,,
2,1,multiple_choice,main,,What does vibecoding mean?,Directs agent|Types faster|Skips tests,0,cards/card_2.png,,"You direct the agent in natural language, describing what you want, instead of typing every line yourself."
3,1,true_false,exercise,2,Vibecoding replaces typing code with directing an agent.,,true,,,
4,1,select_blank,exercise,2,Vibecoding directs an agent using ___ language.,natural|binary|assembly,0,,,
5,1,multiple_choice,exercise,2,What does vibecoding replace line-by-line typing with?,Describing outcomes|Copy-pasting|Guessing,0,,,
136,1,multiple_choice,exercise,2,Who do you direct?,AI agent|Compiler|Linter,0,,,
137,1,true_false,exercise,2,Vibecoding means describing what you want.,,true,,,
6,2,true_false,preview,7,"Vibecoding makes you the director, not the typist.",,true,,,
7,2,multiple_choice,main,,What is your new job when vibecoding?,Director|Typist|Spectator,0,cards/card_7.png,,As director you describe outcomes and review results — the agent does the actual typing.
8,2,true_false,exercise,7,A director describes outcomes and reviews results.,,true,,,
9,2,select_blank,exercise,7,Your job shifts from typist to ___.,director|spectator|debugger,0,,,
10,2,multiple_choice,exercise,7,What does a director still need to do?,Review results|Type lines|Nothing,0,,,
138,2,multiple_choice,exercise,7,Who does the typing?,The agent|You|No one,0,,,
139,2,true_false,exercise,7,Your job shifts to describing outcomes.,,true,,,
11,3,multiple_choice,preview,12,Agents are best at:,Repetitive boilerplate|Reading minds|Guessing intent,0,,,
12,3,multi_select,main,,Pick tasks agents are genuinely good at.,Boilerplate|Refactors|Guessing intent|Unfamiliar APIs,0|1|3,cards/card_12.png,,"This is grunt work: tedious, well-specified tasks agents handle well."
13,3,true_false,exercise,12,Agents save real time on boilerplate code.,,true,,,
14,3,select_blank,exercise,12,Agents are strong at mechanical ___ work.,refactor|guessing|planning,0,,,
15,3,multiple_choice,exercise,12,What kind of work is grunt work?,Tedious|Exciting|Rare,0,,,
140,3,select_blank,exercise,12,Agents shine on ___ tasks.,well-specified|ambiguous|undocumented,0,,,
